Task: condition | classes: ['Formalin-mixed', 'Fresh', 'Rotten']
Model params: 5,241,091
Args: {'task': 'condition', 'image_size': 224, 'batch_size': 32, 'epochs': 120, 'lr': 0.0003, 'weight_decay': 0.0003, 'label_smoothing': 0.1, 'dropout': 0.5, 'mixup_alpha': 0.2, 'use_aux_head': False, 'aux_weight': 0.3, 'num_workers': 4, 'seed': 42}

[1/120] train loss 1.6762 acc 40.3% | valid loss 0.9748 acc 56.2% | lr 3.00e-04
[2/120] train loss 0.9481 acc 49.0% | valid loss 0.9103 acc 66.1% | lr 3.00e-04
[3/120] train loss 0.8685 acc 51.2% | valid loss 0.8892 acc 69.0% | lr 3.00e-04
[4/120] train loss 0.8365 acc 54.2% | valid loss 0.9086 acc 69.0% | lr 3.00e-04
[5/120] train loss 0.8094 acc 54.9% | valid loss 0.8377 acc 65.2% | lr 3.00e-04
[6/120] train loss 0.7851 acc 51.9% | valid loss 0.7741 acc 69.1% | lr 3.00e-04
[7/120] train loss 0.7399 acc 57.1% | valid loss 0.8176 acc 68.1% | lr 3.00e-04
[8/120] train loss 0.7269 acc 57.9% | valid loss 0.8701 acc 69.6% | lr 3.00e-04
[9/120] train loss 0.7042 acc 60.7% | valid loss 0.8713 acc 67.1% | lr 3.00e-04
[10/120] train loss 0.7229 acc 62.9% | valid loss 0.7776 acc 69.3% | lr 3.00e-04
[11/120] train loss 0.6896 acc 59.1% | valid loss 0.8049 acc 67.8% | lr 3.00e-04
[12/120] train loss 0.6594 acc 59.3% | valid loss 0.8190 acc 67.2% | lr 3.00e-04
[13/120] train loss 0.6549 acc 59.9% | valid loss 0.8148 acc 69.6% | lr 3.00e-04
[14/120] train loss 0.6611 acc 59.1% | valid loss 0.8244 acc 69.8% | lr 3.00e-04
[15/120] train loss 0.6350 acc 63.9% | valid loss 0.8363 acc 72.3% | lr 3.00e-04
[16/120] train loss 0.6481 acc 61.8% | valid loss 0.8510 acc 67.0% | lr 3.00e-04
[17/120] train loss 0.6310 acc 59.7% | valid loss 0.8108 acc 69.6% | lr 3.00e-04
[18/120] train loss 0.5979 acc 60.3% | valid loss 0.8811 acc 68.4% | lr 3.00e-04
[19/120] train loss 0.6117 acc 62.6% | valid loss 0.7964 acc 70.3% | lr 3.00e-04
[20/120] train loss 0.6012 acc 61.8% | valid loss 0.8711 acc 66.4% | lr 3.00e-04
[21/120] train loss 0.5888 acc 60.4% | valid loss 0.8532 acc 69.5% | lr 1.50e-04
[22/120] train loss 0.5877 acc 61.7% | valid loss 0.8217 acc 71.0% | lr 1.50e-04
[23/120] train loss 0.5733 acc 65.0% | valid loss 0.8632 acc 69.4% | lr 1.50e-04
[24/120] train loss 0.5692 acc 62.0% | valid loss 0.7770 acc 71.4% | lr 1.50e-04
[25/120] train loss 0.5399 acc 63.3% | valid loss 0.8416 acc 70.5% | lr 1.50e-04
[26/120] train loss 0.5722 acc 65.2% | valid loss 0.7879 acc 71.2% | lr 1.50e-04
[27/120] train loss 0.5671 acc 66.3% | valid loss 0.8108 acc 68.7% | lr 7.50e-05
[28/120] train loss 0.5504 acc 64.1% | valid loss 0.8217 acc 68.1% | lr 7.50e-05
[29/120] train loss 0.5552 acc 66.3% | valid loss 0.8238 acc 71.1% | lr 7.50e-05
[30/120] train loss 0.5475 acc 67.0% | valid loss 0.8303 acc 72.0% | lr 7.50e-05
[31/120] train loss 0.5458 acc 63.9% | valid loss 0.8437 acc 72.6% | lr 7.50e-05
[32/120] train loss 0.5276 acc 62.7% | valid loss 0.8142 acc 71.8% | lr 7.50e-05
[33/120] train loss 0.5451 acc 65.1% | valid loss 0.8359 acc 70.7% | lr 7.50e-05
[34/120] train loss 0.5324 acc 65.0% | valid loss 0.8538 acc 69.6% | lr 7.50e-05
[35/120] train loss 0.5542 acc 66.7% | valid loss 0.8421 acc 70.3% | lr 7.50e-05
[36/120] train loss 0.5273 acc 66.9% | valid loss 0.8445 acc 67.9% | lr 7.50e-05
[37/120] train loss 0.5286 acc 64.7% | valid loss 0.8067 acc 71.8% | lr 3.75e-05
[38/120] train loss 0.5290 acc 61.9% | valid loss 0.7957 acc 71.4% | lr 3.75e-05
[39/120] train loss 0.5171 acc 63.4% | valid loss 0.8076 acc 72.1% | lr 3.75e-05
[40/120] train loss 0.4951 acc 64.0% | valid loss 0.8393 acc 69.3% | lr 3.75e-05
[41/120] train loss 0.5054 acc 65.5% | valid loss 0.7862 acc 70.5% | lr 3.75e-05
[42/120] train loss 0.4962 acc 64.6% | valid loss 0.8235 acc 71.4% | lr 3.75e-05
[43/120] train loss 0.5106 acc 61.2% | valid loss 0.8077 acc 72.6% | lr 1.87e-05
[44/120] train loss 0.4886 acc 67.4% | valid loss 0.7838 acc 71.9% | lr 1.87e-05
[45/120] train loss 0.5140 acc 66.3% | valid loss 0.8011 acc 71.5% | lr 1.87e-05
[46/120] train loss 0.5107 acc 67.3% | valid loss 0.8027 acc 72.4% | lr 1.87e-05
[47/120] train loss 0.4970 acc 65.2% | valid loss 0.7962 acc 72.7% | lr 1.87e-05
[48/120] train loss 0.5236 acc 64.2% | valid loss 0.7947 acc 72.9% | lr 1.87e-05
[49/120] train loss 0.5292 acc 68.0% | valid loss 0.7788 acc 73.9% | lr 1.87e-05
[50/120] train loss 0.5040 acc 66.7% | valid loss 0.7940 acc 72.9% | lr 1.87e-05
[51/120] train loss 0.5184 acc 64.6% | valid loss 0.7934 acc 73.2% | lr 1.87e-05
[52/120] train loss 0.5075 acc 65.3% | valid loss 0.8169 acc 71.9% | lr 1.87e-05
[53/120] train loss 0.5003 acc 64.6% | valid loss 0.7684 acc 73.4% | lr 1.87e-05
[54/120] train loss 0.5123 acc 65.3% | valid loss 0.7893 acc 73.7% | lr 1.87e-05
[55/120] train loss 0.5102 acc 63.3% | valid loss 0.7805 acc 73.7% | lr 9.37e-06
[56/120] train loss 0.5075 acc 68.3% | valid loss 0.8237 acc 71.9% | lr 9.37e-06
[57/120] train loss 0.5081 acc 62.8% | valid loss 0.8051 acc 71.9% | lr 9.37e-06
[58/120] train loss 0.5179 acc 73.2% | valid loss 0.7855 acc 73.1% | lr 9.37e-06
[59/120] train loss 0.5292 acc 68.9% | valid loss 0.8115 acc 71.6% | lr 9.37e-06
[60/120] train loss 0.4867 acc 63.5% | valid loss 0.7891 acc 73.8% | lr 9.37e-06
[61/120] train loss 0.4970 acc 64.4% | valid loss 0.7914 acc 73.8% | lr 4.69e-06
[62/120] train loss 0.4943 acc 68.3% | valid loss 0.7951 acc 73.2% | lr 4.69e-06
[63/120] train loss 0.5004 acc 62.7% | valid loss 0.8046 acc 73.4% | lr 4.69e-06
[64/120] train loss 0.5283 acc 66.4% | valid loss 0.7889 acc 74.3% | lr 4.69e-06
